occ,naq,bre,hdf,pll,nor,pac,cor
0.166,0.019,0.563,0.465,0.451,0.796,0.625,0.274
0.171,0.017,0.563,0.347,0.51,0.809,0.706,0.328
0.177,0.01,0.55,0.267,0.561,0.825,0.77,0.374
0.184,0.005,0.518,0.242,0.574,0.842,0.808,0.407
0.172,0.005,0.446,0.239,0.619,0.867,0.818,0.426
0.171,0.012,0.417,0.26,0.658,0.887,0.843,0.443
0.155,0.021,0.427,0.291,0.697,0.903,0.887,0.467
0.115,0.029,0.404,0.312,0.749,0.914,0.912,0.491
0.071,0.033,0.367,0.359,0.773,0.897,0.924,0.523
0.028,0.036,0.346,0.377,0.787,0.831,0.935,0.573
0.016,0.04,0.331,0.34,0.764,0.702,0.948,0.616
0.039,0.044,0.312,0.285,0.609,0.597,0.961,0.645
0.099,0.046,0.282,0.27,0.575,0.52,0.97,0.643
0.195,0.046,0.249,0.26,0.697,0.548,0.972,0.618
0.292,0.042,0.229,0.255,0.808,0.634,0.969,0.576
0.337,0.035,0.196,0.301,0.83,0.704,0.962,0.525
0.359,0.027,0.16,0.385,0.838,0.753,0.952,0.491
0.404,0.022,0.141,0.446,0.84,0.778,0.938,0.481
0.429,0.017,0.134,0.457,0.833,0.789,0.929,0.48
0.433,0.015,0.133,0.445,0.83,0.785,0.924,0.461
0.436,0.019,0.135,0.422,0.804,0.792,0.912,0.433
0.439,0.025,0.128,0.392,0.766,0.823,0.9,0.392
0.4,0.035,0.102,0.35,0.725,0.848,0.857,0.325
0.446,0.057,0.074,0.287,0.639,0.836,0.809,0.27
0.61,0.085,0.055,0.226,0.597,0.811,0.778,0.244
0.759,0.116,0.046,0.202,0.65,0.808,0.768,0.219
0.797,0.133,0.042,0.198,0.668,0.813,0.766,0.169
0.812,0.137,0.04,0.197,0.61,0.808,0.793,0.117
0.787,0.15,0.036,0.178,0.501,0.798,0.853,0.089
0.712,0.168,0.036,0.165,0.434,0.789,0.905,0.077
0.669,0.218,0.041,0.147,0.466,0.797,0.935,0.07
0.675,0.3,0.046,0.12,0.5,0.797,0.942,0.069
0.684,0.388,0.056,0.097,0.498,0.766,0.937,0.072
0.7,0.465,0.074,0.075,0.437,0.719,0.935,0.084
0.701,0.535,0.098,0.057,0.333,0.629,0.939,0.109
0.711,0.584,0.129,0.046,0.25,0.498,0.941,0.137
0.723,0.607,0.155,0.042,0.182,0.349,0.938,0.135
0.733,0.601,0.175,0.042,0.168,0.216,0.916,0.104
0.733,0.575,0.182,0.042,0.212,0.128,0.88,0.081
0.733,0.571,0.175,0.035,0.231,0.075,0.84,0.083
0.697,0.571,0.15,0.024,0.241,0.042,0.793,0.113
0.687,0.554,0.119,0.017,0.289,0.023,0.748,0.145
0.671,0.525,0.105,0.017,0.312,0.021,0.699,0.165
0.646,0.479,0.103,0.024,0.324,0.034,0.645,0.18
0.649,0.413,0.114,0.036,0.33,0.072,0.58,0.19
0.617,0.353,0.137,0.045,0.336,0.135,0.507,0.18
0.566,0.281,0.155,0.048,0.37,0.21,0.408,0.157
0.551,0.223,0.163,0.045,0.382,0.262,0.29,0.147
0.537,0.178,0.164,0.043,0.4,0.288,0.23,0.14
0.544,0.132,0.151,0.048,0.465,0.334,0.223,0.129
0.554,0.09,0.13,0.054,0.523,0.377,0.225,0.106
0.518,0.056,0.103,0.053,0.567,0.434,0.232,0.078
0.435,0.032,0.075,0.048,0.579,0.508,0.255,0.058
0.372,0.022,0.057,0.045,0.597,0.584,0.275,0.054
0.361,0.027,0.048,0.048,0.63,0.679,0.301,0.048
0.322,0.04,0.041,0.059,0.651,0.718,0.309,0.036
0.278,0.051,0.031,0.075,0.68,0.731,0.298,0.026
0.253,0.053,0.019,0.091,0.699,0.74,0.282,0.02
0.245,0.043,0.009,0.102,0.707,0.767,0.267,0.019
0.248,0.032,0.009,0.109,0.614,0.787,0.26,0.025
0.258,0.029,0.016,0.11,0.448,0.793,0.259,0.036
0.263,0.036,0.031,0.121,0.362,0.792,0.254,0.047
0.255,0.053,0.064,0.148,0.395,0.801,0.235,0.058
