occ,naq,bre,hdf,pll,ara,est,nor,bfc,cvl,pac,cor,idf
0.74,0.223,0.203,0.286,0.15,0.555,0.154,0.307,0.191,0.241,0.774,0.301,0.296
0.75,0.189,0.195,0.269,0.149,0.553,0.152,0.291,0.161,0.199,0.77,0.279,0.287
0.758,0.159,0.179,0.25,0.134,0.533,0.149,0.285,0.157,0.182,0.758,0.286,0.25
0.772,0.151,0.185,0.222,0.134,0.495,0.143,0.262,0.155,0.165,0.752,0.301,0.189
0.781,0.145,0.187,0.207,0.119,0.464,0.122,0.24,0.139,0.125,0.74,0.317,0.137
0.803,0.148,0.17,0.182,0.106,0.493,0.086,0.219,0.117,0.109,0.708,0.328,0.097
0.826,0.149,0.117,0.146,0.121,0.546,0.07,0.177,0.109,0.106,0.722,0.307,0.064
0.818,0.157,0.105,0.114,0.125,0.572,0.091,0.145,0.139,0.121,0.737,0.274,0.057
0.808,0.207,0.12,0.099,0.167,0.591,0.087,0.144,0.139,0.138,0.718,0.245,0.064
0.794,0.256,0.106,0.088,0.214,0.61,0.086,0.138,0.141,0.154,0.704,0.227,0.077
0.774,0.305,0.105,0.085,0.237,0.612,0.091,0.131,0.151,0.16,0.706,0.22,0.088
0.758,0.337,0.105,0.08,0.22,0.577,0.091,0.125,0.154,0.134,0.702,0.216,0.085
0.746,0.295,0.118,0.085,0.163,0.545,0.103,0.134,0.156,0.122,0.694,0.212,0.098
0.746,0.285,0.173,0.093,0.169,0.562,0.112,0.139,0.181,0.156,0.73,0.197,0.116
0.749,0.291,0.216,0.094,0.201,0.566,0.107,0.125,0.166,0.191,0.74,0.175,0.121
0.727,0.286,0.236,0.095,0.231,0.545,0.095,0.106,0.16,0.211,0.748,0.16,0.116
0.719,0.278,0.237,0.09,0.234,0.519,0.077,0.089,0.157,0.205,0.74,0.158,0.1
0.716,0.259,0.231,0.08,0.217,0.442,0.056,0.071,0.143,0.163,0.729,0.166,0.082
0.692,0.243,0.217,0.075,0.191,0.388,0.041,0.056,0.122,0.099,0.698,0.188,0.065
0.69,0.227,0.19,0.082,0.141,0.315,0.034,0.051,0.105,0.057,0.679,0.203,0.049
0.692,0.199,0.162,0.1,0.083,0.273,0.034,0.059,0.098,0.035,0.637,0.187,0.038
0.693,0.158,0.138,0.117,0.048,0.243,0.035,0.076,0.097,0.023,0.597,0.161,0.036
0.699,0.116,0.125,0.132,0.034,0.231,0.032,0.093,0.096,0.019,0.573,0.155,0.038
0.703,0.081,0.121,0.137,0.031,0.236,0.026,0.106,0.091,0.017,0.562,0.175,0.041
0.705,0.063,0.123,0.156,0.031,0.255,0.021,0.121,0.084,0.018,0.559,0.191,0.049
0.706,0.048,0.134,0.191,0.032,0.265,0.023,0.15,0.076,0.025,0.557,0.191,0.067
0.705,0.033,0.154,0.237,0.036,0.25,0.032,0.181,0.065,0.036,0.569,0.181,0.087
0.703,0.022,0.186,0.254,0.041,0.26,0.047,0.205,0.055,0.045,0.555,0.162,0.096
0.699,0.017,0.222,0.259,0.045,0.279,0.063,0.219,0.047,0.052,0.562,0.147,0.103
0.717,0.015,0.245,0.229,0.048,0.342,0.07,0.21,0.033,0.05,0.558,0.133,0.111
0.736,0.021,0.202,0.204,0.044,0.417,0.094,0.177,0.028,0.039,0.635,0.102,0.104
0.742,0.026,0.14,0.182,0.039,0.442,0.118,0.151,0.028,0.034,0.675,0.061,0.086
0.76,0.046,0.149,0.192,0.038,0.448,0.138,0.16,0.032,0.03,0.68,0.038,0.082
0.775,0.072,0.149,0.22,0.039,0.448,0.152,0.163,0.04,0.032,0.671,0.025,0.088
0.781,0.074,0.135,0.22,0.045,0.442,0.153,0.152,0.052,0.04,0.654,0.024,0.096
0.768,0.069,0.109,0.213,0.057,0.408,0.139,0.144,0.062,0.059,0.624,0.036,0.107
0.745,0.066,0.12,0.24,0.077,0.351,0.145,0.141,0.09,0.097,0.597,0.039,0.14
0.736,0.071,0.146,0.254,0.101,0.344,0.15,0.143,0.121,0.131,0.597,0.041,0.166
0.729,0.06,0.151,0.242,0.123,0.331,0.145,0.149,0.124,0.142,0.598,0.039,0.161
0.734,0.039,0.152,0.232,0.126,0.301,0.171,0.15,0.116,0.14,0.6,0.039,0.157
0.74,0.027,0.16,0.231,0.121,0.254,0.185,0.156,0.106,0.129,0.572,0.036,0.16
0.736,0.021,0.182,0.231,0.116,0.231,0.187,0.167,0.104,0.117,0.527,0.033,0.157
0.721,0.026,0.199,0.21,0.11,0.21,0.173,0.169,0.113,0.106,0.499,0.034,0.14
0.712,0.043,0.197,0.184,0.104,0.197,0.188,0.166,0.123,0.099,0.483,0.034,0.115
0.726,0.058,0.176,0.176,0.089,0.199,0.178,0.18,0.128,0.087,0.471,0.037,0.09
0.736,0.056,0.17,0.187,0.074,0.192,0.176,0.21,0.125,0.073,0.472,0.045,0.089
