h;agg
1222;954,956443731
1223;962,90936174
1224;971,580781242
1225;986,187028719
1226;997,520555378
1227;1008,347288367
1228;1024,373937095
1229;1033,598039026
1230;1043,227803231
1231;1052,259759478
1232;1062,438539816
1233;1074,379216915
1234;1078,033154404
1235;1082,105208608
1236;1079,639026422
1237;1070,576571075
1238;1062,673797109
1239;1065,627748664
1240;1069,983820318
1241;1070,868409016
1242;1068,51283468
1243;1063,108280157
1244;1058,819007259
1245;1050,798033691
1246;1047,967198633
1247;1048,790935037
1248;1053,090729295
1249;1057,69345571
1250;1058,562812314
1251;1057,937753687
1252;1055,40996022
1253;1051,427650098
1254;1050,280818387
1255;1046,381556437
1256;1045,854840614
1257;1041,397901379
1258;1032,847379099
1259;1034,405421013
1260;1037,294133429
1261;1040,769481761
1262;1043,00958677
1263;1043,801005511
1264;1048,457347289
1265;1049,439145822
1266;1047,003268191
1267;1043,951203806
1268;1035,805315189
1269;1017,389981989
1270;1004,145739294
1271;995,138054245
1272;985,666664171
1273;975,277784688
1274;965,344937883
1275;958,956595626
1276;949,529919939
1277;938,410557405
1278;927,638261167
1279;917,482313206
1280;908,654543731
1281;900,185438818
1282;890,066340819
1283;879,77702913
1284;870,467373495
1285;862,034869928
1286;854,279648861
1287;849,122474978
1288;843,084361726
1289;830,092580921
1290;809,9510565
1291;789,600736249
1292;767,512164606
1293;743,42890965
1294;721,243600028
1295;704,195518897
1296;688,985810674
1297;676,437179526
1298;661,396383633
1299;647,001225721
1300;633,453444723
1301;621,470914285
1302;611,456677422
1303;602,095371014
1304;590,997195861
1305;579,373566625
1306;569,872005791
1307;567,753578505
1308;566,676094561
1309;565,822236879
1310;565,990029951
1311;566,845035024
1312;568,303303936
1313;568,316626501
1314;565,733143888
1315;557,838553311
1316;551,963074087
1317;546,26839938
1318;542,597327111
1319;541,040374439
1320;539,465680658
1321;533,762444002
1322;527,921444067
1323;523,775602518
1324;520,013706892
1325;514,246588861
1326;508,284124912
1327;500,884630806
1328;498,074111605
1329;498,074111605
1330;498,074111605
1331;498,074111605
1332;498,074111605
1333;498,074111605
1334;497,811022135
1335;495,071575964
1336;491,434208711
1337;482,15886927
1338;476,305774459
1339;475,699328372
1340;472,619265772
1341;469,246501405
1342;468,054914651
1343;469,422131758
1344;472,040720286
1345;478,203529786
1346;472,840412918
1347;463,800438371
1348;454,237520366
1349;445,556237679
1350;441,696729684
1351;442,611907334
1352;448,74397222
1353;452,922374738
1354;461,022754531
1355;467,973065826
1356;480,324597019
1357;498,118171527
1358;519,943840695
1359;542,568386584
1360;562,816261931
1361;579,148303553
1362;590,230418693
1363;601,724518565
1364;612,655259323
1365;617,902494632
1366;624,279064018
1367;629,68209798
1368;629,927523176
1369;626,50406195
1370;621,012518779
1371;611,99719071
1372;602,343163488
1373;591,982516151
1374;581,450096228
1375;570,359686039
1376;565,877201614
1377;565,98731159
1378;566,105095463
1379;570,699052236
1380;580,101167348
1381;591,407593062
1382;600,30474805
1383;611,837717052
1384;618,791137807
1385;621,688292996
1386;613,926418255
1387;596,132843747
1388;574,307174579
1389;551,68262869
1390;531,818449391
1391;515,833044969
1392;504,750929829
1393;493,256829957
1394;482,326089199
1395;475,804636266
1396;469,42806688
1397;464,025032918
1398;459,642010745
1399;454,451468535
1400;452,387420944
1401;452,387420944
1402;454,21104047
1403;454,816719556
1404;456,047068471
1405;460,612148691
1406;469,592446194
1407;479,369439496
1408;487,345832275
1409;484,966486965
1410;476,76861955
1411;463,337465959
1412;448,308246085
1413;432,596874565
1414;418,880543512
1415;409,033077028
1416;404,443420576
1417;404,443420576
1418;404,443420576
1419;404,458536088
1420;408,558876285
1421;410,228232997
1422;410,480236488
1423;410,480236488
1424;411,513799744
1425;414,320135518
1426;415,548792105
1427;417,448914256
1428;419,185174664
1429;423,264959498
1430;427,116349191
1431;432,370102355
1432;435,763833895
1433;437,003888422
1434;435,773539507
1435;431,208459287
1436;422,228161784
1437;412,341058506
1438;404,246881854
1439;402,032270391
1440;400,828022694
1441;400,828022694
1442;400,828022694
1443;400,828022694
1444;399,490553199
1445;399,490553199
1446;399,490553199
1447;399,490553199
1448;399,490553199
1449;402,024805761
1450;398,257730515
1451;396,241736603
1452;398,995190713
1453;403,725150094
1454;410,533665322
1455;420,595616666
1456;430,205790125
1457;440,675200044
1458;443,181714186
1459;445,357049028
1460;447,813999381
1461;446,258287993
1462;446,527707281
1463;447,180147501
1464;449,959931858
1465;453,696096291
1466;455,412993645
1467;456,026006677
1468;456,431000042
1469;456,431000042
1470;456,431000042
1471;456,431000042
1472;456,431000042
1473;456,431000042
1474;456,431000042
1475;457,210929007
1476;457,210929007
1477;457,210929007
1478;460,945187903
1479;465,363196097
1480;471,718277373
1481;476,835493173
1482;474,472568729
1483;473,422284256
1484;478,10604644
1485;473,779625648
1486;472,089759458
1487;466,815080748
1488;465,079693163
1489;465,583054204
1490;463,481428399
1491;459,783386623
1492;454,296616269
1493;451,798442436
1494;449,018658079
1495;445,282493646
1496;445,569716861
1497;447,381213181
1498;451,00512567
1499;454,824718883
1500;467,032367442
1501;482,210591079
1502;499,766632083
1503;517,770202413
1504;533,536800877
1505;547,104830657
1506;556,441647033
1507;567,771246767
1508;572,322143198
1509;572,896411297
1510;567,436514298
1511;566,332406495
1512;567,508157325
1513;565,473824654
1514;554,111341983
1515;545,569475657
1516;536,420511801
1517;529,325658441
1518;526,818271476
1519;520,059790759
1520;515,0663676
1521;515,0663676
1522;515,0663676
1523;515,855565951
1524;521,478211444
1525;533,156379218
1526;548,659196102
1527;566,904560997
1528;584,156158223
1529;602,52007419
1530;606,861821486
1531;606,20590319
1532;598,722254478
1533;590,230854359
